org_name,domain,url,tel_work,tel_fax,tel_cell,adr_one_street,adr_one_postalcode,adr_one_locality,adr_one_countryname,gender,title,n_given,n_middle,n_family,tel_home,tel_fax_home,tel_cell_private,email,email_home,adr_two_street,adr_two_postalcode,adr_two_locality,adr_two_countryname
"Bikecology e. K., Wolfgang Kochmann",bikecologyekwolfgangkochmann.de,http://www.bikecologyekwolfgangkochmann.de/,+49 1453 7932 6901,+49 1453 7932 96901,+49 149 3876713 6901,Flughafenstr. 81,22415,Hamburg,DE,male,,Rick,,Magnuson,+49 5834 838978,,+49 177 24903939,r.magnuson@bikecologyekwolfgangkochmann.de,r.magnuson@web.de,Weserstr. 11,63225,Langen in Hessen,DE
"Bikecology e. K., Wolfgang Kochmann",bikecologyekwolfgangkochmann.de,http://www.bikecologyekwolfgangkochmann.de/,+49 1453 7932 5463,+49 1453 7932 95463,+49 149 3876713 5463,Flughafenstr. 81,22415,Hamburg,DE,male,Dipl.-Biomath. (FH),Alexandros,Nilson,Harbottle,+49 1609 310720,,+49 128 38004963,a.harbottle@bikecologyekwolfgangkochmann.de,a.harbottle@gmail.com,Ostring 18,76829,Landau in der Pfalz,DE
"Bikecology e. K., Wolfgang Kochmann",bikecologyekwolfgangkochmann.de,http://www.bikecologyekwolfgangkochmann.de/,+49 1453 7932 2956,+49 1453 7932 92956,+49 149 3876713 2956,Flughafenstr. 81,22415,Hamburg,DE,male,,Clive,,Kuhfus,+49 9430 729074,,+49 106 18051661,c.kuhfus@bikecologyekwolfgangkochmann.de,c.kuhfus@web.de,Hauptstr. 49,97215,Simmershofen,DE
"Bikecology e. K., Wolfgang Kochmann",bikecologyekwolfgangkochmann.de,http://www.bikecologyekwolfgangkochmann.de/,+49 1453 7932 8450,+49 1453 7932 98450,+49 149 3876713 8450,Flughafenstr. 81,22415,Hamburg,DE,male,,Merry,Gianni,Casnji,+49 6953 806403,,+49 106 96624602,m.casnji@bikecologyekwolfgangkochmann.de,m.casnji@t-online.de,Cranachstr. 17 -18,12157,Berlin,DE
"Bikecology e. K., Wolfgang Kochmann",bikecologyekwolfgangkochmann.de,http://www.bikecologyekwolfgangkochmann.de/,+49 1453 7932 3762,+49 1453 7932 93762,+49 149 3876713 3762,Flughafenstr. 81,22415,Hamburg,DE,male,,Morrie,,Mccarthy,+49 4584 764665,,+49 167 70773532,m.mccarthy@bikecologyekwolfgangkochmann.de,m.mccarthy@arcor.de,Matthäusstr. 13,42277,Wuppertal,DE
"Bikecology e. K., Wolfgang Kochmann",bikecologyekwolfgangkochmann.de,http://www.bikecologyekwolfgangkochmann.de/,+49 1453 7932 3632,+49 1453 7932 93632,+49 149 3876713 3632,Flughafenstr. 81,22415,Hamburg,DE,male,Dipl.-Wirtsch.-Inf. (DH),Nelson,Godwin,Gundersen,+49 5418 187664,+49 3482 30349,+49 105 31449685,n.gundersen@bikecologyekwolfgangkochmann.de,n.gundersen@gmail.com,Lindenstr. 23,17111,Lindenberg in Vorpommern,DE
"Bikecology e. K., Wolfgang Kochmann",bikecologyekwolfgangkochmann.de,http://www.bikecologyekwolfgangkochmann.de/,+49 1453 7932 9023,+49 1453 7932 99023,+49 149 3876713 9023,Flughafenstr. 81,22415,Hamburg,DE,male,B.Eng.,Garwood,,Cividino,+49 2978 925418,,+49 117 68708077,g.cividino@bikecologyekwolfgangkochmann.de,g.cividino@gmx.de,Breslauer Str. 27,33098,Paderborn,DE
"Bikecology e. K., Wolfgang Kochmann",bikecologyekwolfgangkochmann.de,http://www.bikecologyekwolfgangkochmann.de/,+49 1453 7932 1772,+49 1453 7932 91772,+49 149 3876713 1772,Flughafenstr. 81,22415,Hamburg,DE,male,,Marshall,Frasquito,Whitfield,+49 4084 277954,,+49 101 30612557,m.whitfield@bikecologyekwolfgangkochmann.de,m.whitfield@gmx.de,Reundorfer Str. 11,96215,Lichtenfels in Bayern,DE
"Bikecology e. K., Wolfgang Kochmann",bikecologyekwolfgangkochmann.de,http://www.bikecologyekwolfgangkochmann.de/,+49 1453 7932 6157,+49 1453 7932 96157,+49 149 3876713 6157,Flughafenstr. 81,22415,Hamburg,DE,male,,Grove,,Raila,+49 1469 38466,,+49 172 20717731,g.raila@bikecologyekwolfgangkochmann.de,g.raila@gmx.de,Am Wüschemeer 4 D,26133,Oldenburg in Oldenburg,DE
Doublefit Lady-Fitness Wendel G./Weixler P. Ballettunterricht,doublefitladyfitness.eu,http://www.doublefitladyfitness.eu/,+49 8146 20658 7436,+49 8146 20658 97436,+49 105 8002592 7436,Luxemburger Str. 256,70374,Stuttgart,DE,female,B.Eng.,Mimi,,Dyson,+49 5837 147210,,+49 173 48681657,m.dyson@doublefitladyfitness.eu,m.dyson@web.de,Jaiserstr. 28,82049,Pullach im Isartal,DE
